Time,0.3L,0.5L,0.8L,0.85L
0, 0.5703125, 1.37109375, 1.359375, 0.109375
10, 0.48046875, 1.16015625, 1.1484375, 0.08984375
20, 0.80078125, 1.21875, 1.05078125, 0.16015625
30, 0.828125, 1.19140625, 1.12109375, 0.2890625
40, 1.01953125, 1.4609375, 1.25, 0.3984375
50, 1.01171875, 1.55078125, 1.2109375, 0.48828125
60, 0.9296875, 1.78125, 1.1796875, 0.71875
70, 0.7890625, 1.80078125, 1.1484375, 0.609375
80, 0.671875, 1.828125, 1.12890625, 0.51171875
90, 0.55859375, 1.69921875, 1.109375, 0.4296875
100, 0.48046875, 1.58984375, 1.171875, 0.37109375
110, 0.3984375, 1.421875, 1.140625, 0.390625
120, 0.33984375, 1.28125, 1.12109375, 0.640625
130, 0.2890625, 1.390625, 1.1015625, 0.69921875
140, 0.23828125, 1.328125, 1.01171875, 1.05078125
150, 0.671875, 1.26953125, 0.8515625, 1.2109375
160, 0.87109375, 1.23046875, 0.71875, 1.171875
170, 0.96875, 1.12109375, 0.609375, 1.44921875
180, 1.12890625, 0.94140625, 0.51171875, 1.37890625
190, 1.19921875, 0.80078125, 0.4296875, 1.328125
200, 1.171875, 0.6796875, 0.37109375, 1.4296875
210, 1.30078125, 0.5703125, 0.30859375, 1.37109375
220, 1.26171875, 0.48046875, 0.26171875, 1.30859375
230, 1.28125, 0.41015625, 0.21875, 1.33984375
240, 1.08984375, 0.3515625, 0.19140625, 1.28125
250, 1.0, 0.2890625, 0.16015625, 1.23828125
260, 1.16015625, 0.328125, 0.12890625, 1.19921875
270, 1.30078125, 0.578125, 0.109375, 1.3203125
280, 1.25, 0.640625, 0.1796875, 1.26953125
290, 1.2109375, 0.69921875, 0.30078125, 1.30859375
300, 1.26171875, 0.75, 0.55859375, 1.26171875
310, 1.37109375, 0.9296875, 0.62890625, 1.30078125
320, 1.30859375, 0.94140625, 0.6015625, 1.328125
330, 1.421875, 0.94921875, 0.51171875, 1.421875
340, 1.19921875, 1.109375, 0.671875, 1.359375
350, 1.01953125, 0.94140625, 0.71875, 1.30078125
360, 0.859375, 0.7890625, 0.76171875, 1.26171875
370, 0.73046875, 0.671875, 1.109375, 1.21875
380, 0.62109375, 0.5703125, 1.08984375, 1.328125
390, 0.51953125, 0.48046875, 1.30078125, 1.4296875
400, 0.44140625, 0.3984375, 1.26171875, 1.359375
410, 0.37109375, 0.33984375, 1.37890625, 1.30078125
420, 0.30859375, 0.2890625, 1.390625, 1.26171875
430, 0.26953125, 0.3984375, 1.328125, 1.21875
440, 0.21875, 0.71875, 1.28125, 1.33984375
450, 0.19140625, 0.9296875, 1.55078125, 1.2890625
460, 0.16015625, 1.08984375, 1.5390625, 1.41015625
470, 0.12890625, 1.0703125, 1.44921875, 1.5
480, 0.109375, 1.21875, 1.37890625, 1.4296875
490, 0.1015625, 1.19140625, 1.3203125, 1.359375
500, 0.078125, 1.16015625, 1.12109375, 1.30078125
510, 0.0703125, 1.2890625, 0.94921875, 1.26171875
520, 0.28125, 1.25, 0.80078125, 1.21875
530, 0.390625, 1.2109375, 0.6796875, 1.03125
540, 0.48828125, 1.1796875, 0.5703125, 0.87109375
550, 0.7109375, 1.1484375, 0.48046875, 0.73828125
560, 0.828125, 0.96875, 0.41015625, 0.78125
570, 0.8515625, 0.8203125, 0.3515625, 0.8984375
580, 1.0390625, 0.69921875, 0.2890625, 0.91015625
590, 1.03125, 0.58984375, 0.25, 0.9296875
600, 1.19140625, 0.5, 0.2109375, 0.94140625
610, 1.30078125, 0.421875, 0.1796875, 1.109375
620, 1.26171875, 0.359375, 0.23046875, 1.08984375
630, 1.21875, 0.30078125, 0.3515625, 1.21875
640, 1.48828125, 0.25, 0.44921875, 1.19140625
650, 1.33984375, 0.2109375, 0.53125, 1.16015625
660, 1.12890625, 0.1796875, 0.76953125, 1.140625
670, 0.9609375, 0.1484375, 0.6484375, 1.109375
680, 0.80859375, 0.12890625, 0.55078125, 1.1015625
690, 0.6796875, 0.26171875, 0.4609375, 0.9296875
700, 0.578125, 0.37890625, 0.390625, 0.78125
710, 0.48828125, 0.62109375, 0.328125, 0.66015625
720, 0.41015625, 0.98828125, 0.359375, 0.55859375
