Time,0.3L,0.5L,0.8L,0.85L
0,0,0,0,0
10,0,0,0,0
20,0,0,0,0
30,0,0,0,0
40,0,0,0,0
50,43946024,0,43156159,44377911
60,0,49550913,0,0
70,0,0,0,0
80,0,0,0,0
90,0,0,45101513,0
100,0,83684978,0,0
110,0,0,0,0
120,0,0,0,0
130,0,0,46539734,0
140,0,0,0,0
150,0,0,0,47534865
160,0,46214134,0,0
170,0,0,0,0
180,43776316,0,0,0
190,0,0,0,65380598
200,0,0,0,0
210,0,0,0,0
220,39694668,0,0,0
230,0,0,0,82660699
240,0,0,0,0
250,0,0,0,0
260,0,0,0,0
270,0,0,0,0
280,0,0,0,78352475
290,43811926,43238323,0,0
300,0,0,0,0
310,0,0,0,54700981
320,0,0,43910266,0
330,73750739,0,0,0
340,0,61073624,0,0
350,0,0,0, 90330.66
360,0,0,0,0
370,0,0,42955449,0
380,0,0,0,0
390,0,0,0,0
400,0,0,0,126711116
410,0,0,75850106,0
420,0,0,0,0
430,0,0,0, 103611.3
440,0,0,0,0
450,0,0,84554577,0
460,0,45963657,0,0
470,0,0,0,133963756
480,0,49550913,0,0
490,0,0,95439286,0
500,0,0,0,0
510,0,0,0,0
520,0,83684978,0,130020877
530,0,0,0,0
540,0,0,0,0
550,0,0,0,0
560,45985787,0,0,0
570,0,0,0,0
580,0,46214134,0,0
590,0,0,0,0
600,42776231,0,0,43470633
610,0,0,0,0
620,0,0,0,0
630,0,0,0,0
640, 40248.64,0,0,70514986
650,0,0,0,0
660,0,0,44331541,0
670,0,0,0,0
680,0,0,0,95138177
690,0,0,0,0
700,0,0,0,0
710,0,43238323,0,0
720,0,0,0,0
730,0,0,0,0
740,0,0,0,0
750,0,0,0,0
760,0,61073624,43909988,0
770,0,0,0,0
780,0,0,0,0
790,0,0,0,0
800,0,0,61558619,0
810,0,0,0,0
820,0,0,0,0
830,0,0,0,0
840,0,0,60209621,0
850,0,0,0,45196115
860,0,0,0,0
870,0,0,0,0
880,0,45963657,0,0
890,46333326,0,0,0
900,0,0,0,0
910,0,0,0,0
920,0,0,43494051,0
930,0,0,0,0
940,0,0,0,43078676
950,0,0,0,0
960,0,0,60743207,0
970,0,0,0,0
980,0,0,0,68439102
990,0,0,0,0
1000,0,0,0,0
1010,0,0,0,0
1020,43672659,51145997,0,0
1030,0,0,0,0
1040,0,0,0,43425857
1050,0,0,0,0
1060,0,0,0,0
1070,0,0,0,0
1080,0,0,43529161,47581504
1090,0,0,0,0
1100,43499941,0,0,0
1110,0,0,0,0
1120,0,0,0,0
1130,0,0,0,72803506
1140,0,0,0,0
1150,0,0,42725589,0
1160,0,0,0,76702307
1170,0,0,0,0
1180,0,0,0,0
1190,0,0,0,0
1200,0,0,75075249,58796172
1210,0,43655636,0,0
1220,0,0,0,0
1230,0,0,99083336,0
1240,0,0,0,0
1250,0,50761249,0,64967085
1260,0,0,0,0
1270,0,0,0,0
1280,0,0,106589642, 45419.66
1290,0,0,0,0
1300,0,0,0,0
1310,0,0,0,0
1320,0,0,99659722,72269389
1330,46220133,0,0,0
1340,0,0,0,0
1350,0,0,0,0
1360,0,0,105887316,0
1370,0,0,0,108618501
1380,0,43516358,0,0
1390,0,0,0,0
1400,0,0, 56208.52,0
1410,0,0,0, 140040.56
1420,0,0,0,0
1430,0,49302278,0,0
1440,0,0,94055335,0
1450,0,0,0,169469338
1460,0,0,0,0
1470,0,83399398,0,0
1480,0,0,110228317,0
1490,0,0,0,153331087
1500,0,0,0,0
1510,0, 115241.93,0,0
1520,0,0,46029492,0
1530,0,0,0,167391712
1540,0,0,0,0
1550,0,107260503,0,0
1560,0,0,80083718,0
1570,0,0,0,184182122
1580,0,0,0,0
1590,0,72289652,0,0
1600,0,0,0,0
1610,0,0,0,223940448
1620,0,0,0,0
1630,0,0,0,0
1640,0,0,0,0
1650,0,0,0,160913959
1660,0,0,0,0
1670,0,0,0,0
1680,0,0,0,0
1690,0,0,0,191165258
1700,0,0,0,0
1710,0,0,43330728,0
1720,0,0,0,0
1730,0,0,0, 167837.15
1740,0,0,0,0
1750,0,0,41907856,0
1760,0,0,0,0
1770,0,0,0,0
1780,0,0,0,0
1790,0,0,49281533,0
1800,0,0,0,0
