Time,0.3L,0.5L,0.8L,0.85L
0,0,0,0,0
10,1,1,1,1
20,1,2,1,1
30,1,2,1,1
40,1,2,1,1
50,0,2,1,0
60,0,1,1,0
70,0,1,1,0
80,0,1,1,0
90,0,1,1,0
100,0,0,1,1
110,0,1,1,1
120,0,1,1,1
130,0,1,0,2
140,1,1,0,2
150,1,1,0,2
160,1,0,0,2
170,1,0,0,2
180,1,0,0,2
190,1,0,0,1
200,1,0,0,2
210,1,0,0,2
220,0,0,0,2
230,0,0,0,1
240,1,0,0,1
250,2,1,0,1
260,2,1,0,3
270,2,1,1,3
280,2,2,1,3
290,1,1,1,3
300,1,1,1,3
310,1,1,0,2
320,1,1,0,2
330,0,1,2,3
340,0,0,2,4
350,0,0,2,3
360,0,0,3,3
370,0,0,2,3
380,0,0,2,3
390,0,0,3,4
400,0,0,3,3
410,0,0,2,3
420,0,1,2,3
430,0,2,2,2
440,0,2,2,2
450,0,3,1,2
460,0,2,1,2
470,0,2,1,1
480,0,2,1,1
490,0,2,0,1
500,0,2,0,1
510,1,1,0,1
520,1,1,0,0
530,1,1,0,0
540,1,1,0,0
550,0,0,0,1
560,1,0,0,1
570,1,0,0,2
580,1,0,0,3
590,1,0,0,3
600,1,0,0,2
610,1,0,1,2
620,1,0,1,2
630,1,0,1,2
640,0,0,1,1
650,0,0,1,1
660,0,0,0,1
670,0,0,0,1
680,0,1,0,0
690,0,1,0,0
700,0,1,0,0
710,0,1,1,0
720,0,0,1,0
730,0,0,1,0
740,0,0,2,0
750,0,0,2,0
760,0,0,1,0
770,0,0,1,0
780,0,0,2,0
790,0,0,2,0
800,0,0,1,1
810,0,0,1,1
820,0,0,1,1
830,0,0,1,1
840,0,0,0,1
850,1,0,0,0
860,1,0,0,0
870,1,0,1,0
880,1,0,1,0
890,0,0,1,0
900,0,0,2,1
910,0,0,2,2
920,0,0,1,2
930,0,0,1,2
940,0,0,1,1
950,0,0,1,1
960,0,0,0,1
970,0,1,0,1
980,1,1,0,0
990,1,1,0,0
1000,1,1,0,1
1010,1,1,0,1
1020,0,0,0,1
1030,0,0,1,1
1040,0,0,1,1
1050,0,0,1,2
1060,1,0,1,2
1070,1,0,1,2
1080,1,0,0,1
1090,1,0,0,2
1100,0,0,0,2
1110,0,0,1,2
1120,0,0,2,1
1130,0,0,2,1
1140,0,0,3,2
1150,0,0,2,2
1160,0,0,2,1
1170,0,1,3,1
1180,0,1,3,2
1190,0,1,3,2
1200,0,2,2,1
1210,0,1,2,1
1220,0,1,3,1
1230,0,1,2,1
1240,0,1,2,1
1250,0,0,3,2
1260,0,0,3,3
1270,0,0,2,4
1280,0,0,2,4
1290,1,0,2,4
1300,1,0,2,4
1310,1,0,2,4
1320,1,0,1,3
1330,0,0,1,4
1340,0,1,3,4
1350,0,1,3,4
1360,0,1,2,5
1370,0,1,3,4
1380,0,1,3,6
1390,0,3,3,6
1400,0,3,2,6
1410,0,3,2,5
1420,0,3,2,5
1430,0,2,2,5
1440,0,3,1,4
1450,0,3,1,4
1460,0,3,1,4
1470,0,2,2,4
1480,0,2,2,4
1490,0,2,2,4
1500,0,2,2,5
1510,0,1,2,5
1520,0,2,1,5
1530,0,2,1,4
1540,0,2,1,4
1550,0,1,1,4
1560,0,1,0,5
1570,0,1,0,4
1580,0,1,0,4
1590,0,0,0,4
1600,0,0,0,4
1610,0,0,0,3
1620,0,0,0,3
1630,0,0,0,3
1640,0,0,0,3
1650,0,0,0,2
1660,0,0,0,2
1670,0,0,1,2
1680,0,0,1,2
1690,0,0,1,1
1700,0,0,1,1
1710,0,0,1,1
1720,0,0,1,1
1730,0,0,1,0
1740,0,0,2,0
1750,0,0,1,0
1760,0,0,1,0
1770,0,2,1,1
1780,0,3,1,1
1790,0,3,0,1
1800,0,3,1,1
